╭─────────────────────────────────────────┬─────────────────────────────────────────┬─────────────────────────────────────────┬─────────────────────────────────────────╮
│                                   batch │                     qrtz_fired_triggers │                            trigger_name │                                       1 │
│                                   batch │                        qrtz_job_details │                          job_class_name │                                       1 │
│                                   batch │                        qrtz_job_details │                                job_name │                                       1 │
│                                   batch │                        qrtz_job_details │                              sched_name │                                       1 │
│                                   batch │                              qrtz_locks │                               lock_name │                                       1 │
│                                   batch │                              qrtz_locks │                              sched_name │                                       1 │
│                                   batch │                qrtz_paused_trigger_grps │                              sched_name │                                       1 │
│                                   batch │                    qrtz_scheduler_state │                           instance_name │                                       1 │
│                                   batch │                    qrtz_scheduler_state │                              sched_name │                                       1 │
│                                   batch │                    qrtz_simple_triggers │                              sched_name │                                       1 │
│                                   batch │                    qrtz_simple_triggers │                            trigger_name │                                       1 │
│                                   batch │                   qrtz_simprop_triggers │                              sched_name │                                       1 │
│                                   batch │                   qrtz_simprop_triggers │                            trigger_name │                                       1 │
│                                   batch │                           qrtz_triggers │                           calendar_name │                                       1 │
│                                   batch │                           qrtz_triggers │                                job_name │                                       1 │
│                                   batch │                           qrtz_triggers │                              sched_name │                                       1 │
│                                   batch │                           qrtz_triggers │                            trigger_name │                                       1 │
│                                   batch │                           qrtz_triggers │                           trigger_state │                                       1 │
│                        batch_bitemporal │             batch_cloudwatch_error_logs │                         log_stream_name │                                       1 │
│                        batch_bitemporal │              batch_job_execution_params │                                key_name │                                       1 │
│                        batch_bitemporal │                      batch_job_instance │                                job_name │                                       1 │
│                        batch_bitemporal │                   batch_job_sqs_metrics │                              queue_name │                                       1 │
│                        batch_bitemporal │                    batch_step_execution │                               step_name │                                       1 │
│             business_process_automation │    refi_net_contribution_analysis_audit │                                   state │                                       1 │
│             business_process_automation │                   refi_selections_audit │                           email_address │                                       1 │
│             business_process_automation │                   refi_selections_audit │                              state_name │                                       1 │
│                           chorus_fdw_lp │                          deletion_audit │                              table_name │                                       1 │
│                           chorus_fdw_lp │                          payment_entity │                     payment_method_name │                                       1 │
│                                  common │                        address_priority │                        address_priority │                                       1 │
│                                  common │                             draw_status │                        draw_status_name │                                       1 │
│                                  common │                            email_reason │                            email_reason │                                       1 │
│                                  common │                        ev_change_reason │                   ev_change_reason_name │                                       1 │
│                                  common │                          ev_flag_reason │                     ev_flag_reason_name │                                       1 │
│                                  common │                    ev_resolution_method │               ev_resolution_method_name │                                       1 │
│                                  common │                               ev_status │                          ev_status_name │                                       1 │
